FirstName0 LastName0  assistant 63326.05
FirstName195 LastName195  full 94938.92
FirstName196 LastName196  assistant 77828.43
FirstName197 LastName197  full 85266.71
FirstName198 LastName198  assistant 74513.15
FirstName199 LastName199  assistant 61145.49
FirstName200 LastName200  assistant 55027.59
FirstName201 LastName201  associate 88794.84
FirstName202 LastName202  full 80220.82
FirstName203 LastName203  full 81961.99
FirstName204 LastName204  full 83245.36
FirstName205 LastName205  associate 71766.53
FirstName206 LastName206  assistant 70955.16
FirstName207 LastName207  assistant 65604.54
FirstName208 LastName208  assistant 72920.48
FirstName209 LastName209  associate 66125.05
FirstName210 LastName210  associate 78790.75
FirstName211 LastName211  assistant 68934.52
FirstName212 LastName212  associate 102017.25
FirstName213 LastName213  assistant 52940.03
FirstName214 LastName214  assistant 61367.79
FirstName215 LastName215  full 111516.96
FirstName216 LastName216  full 89400.20
FirstName217 LastName217  assistant 70962.13
FirstName218 LastName218  associate 105399.42
FirstName219 LastName219  full 124750.77
FirstName220 LastName220  associate 80879.75
FirstName221 LastName221  assistant 65959.32
FirstName222 LastName222  associate 92892.84
FirstName223 LastName223  associate 95688.07
FirstName224 LastName224  full 93232.21
FirstName225 LastName225  assistant 78051.81
FirstName226 LastName226  full 98322.02
FirstName227 LastName227  associate 101337.23
FirstName228 LastName228  full 77597.88
FirstName229 LastName229  associate 99738.06
FirstName230 LastName230  assistant 79250.98
FirstName231 LastName231  associate 83933.84
FirstName232 LastName232  assistant 53066.43
FirstName233 LastName233  assistant 70145.61
FirstName234 LastName234  assistant 69440.94
FirstName235 LastName235  full 81922.57
FirstName236 LastName236  assistant 55160.96
FirstName237 LastName237  associate 91116.85
FirstName238 LastName238  associate 78768.74
FirstName239 LastName239  full 118005.32
FirstName240 LastName240  associate 70889.39
FirstName241 LastName241  associate 78378.20
FirstName242 LastName242  full 80402.99
FirstName243 LastName243  assistant 57152.54
FirstName244 LastName244  full 114498.64
FirstName245 LastName245  associate 94778.83
FirstName246 LastName246  full 117623.55
FirstName247 LastName247  full 112946.77
FirstName248 LastName248  assistant 74546.78
FirstName249 LastName249  full 88757.01
FirstName250 LastName250  full 99254.84
FirstName251 LastName251  full 104283.44
FirstName252 LastName252  assistant 64315.72
FirstName253 LastName253  assistant 52848.99
FirstName254 LastName254  assistant 50821.53
FirstName255 LastName255  assistant 60648.68
FirstName256 LastName256  full 127087.05
FirstName257 LastName257  assistant 71000.10
FirstName258 LastName258  associate 104749.51
FirstName259 LastName259  associate 79704.86
FirstName260 LastName260  assistant 54916.72
FirstName261 LastName261  assistant 57310.99
FirstName262 LastName262  full 91014.97
FirstName263 LastName263  associate 108529.54
FirstName264 LastName264  full 123650.74
FirstName265 LastName265  full 95704.57
FirstName266 LastName266  assistant 55596.01
FirstName267 LastName267  associate 93883.50
FirstName268 LastName268  full 110738.09
FirstName269 LastName269  associate 101944.88
FirstName270 LastName270  full 85886.14
FirstName271 LastName271  full 93747.89
FirstName272 LastName272  associate 105337.70
FirstName273 LastName273  assistant 67409.28
FirstName274 LastName274  associate 87783.20
FirstName275 LastName275  associate 60925.38
FirstName276 LastName276  associate 103620.55
FirstName277 LastName277  full 89917.20
FirstName278 LastName278  full 92665.13
FirstName279 LastName279  full 105943.07
FirstName280 LastName280  assistant 79099.89
FirstName281 LastName281  full 94526.42
FirstName282 LastName282  assistant 59384.21
FirstName283 LastName283  assistant 65288.95
FirstName284 LastName284  associate 106025.19
FirstName285 LastName285  full 76804.40
FirstName286 LastName286  full 99536.78
FirstName287 LastName287  full 92643.96
FirstName288 LastName288  full 120182.93
FirstName289 LastName289  associate 101317.17
FirstName290 LastName290  full 99554.12
FirstName291 LastName291  full 88268.41
FirstName292 LastName292  full 118717.66
FirstName293 LastName293  associate 90666.90
FirstName294 LastName294  assistant 54200.84
FirstName295 LastName295  full 91370.12
FirstName296 LastName296  associate 61788.73
FirstName297 LastName297  assistant 58397.60
FirstName298 LastName298  full 117978.04
FirstName299 LastName299  associate 70195.84
FirstName300 LastName300  assistant 60351.72
FirstName301 LastName301  associate 79222.86
FirstName302 LastName302  assistant 53706.32
FirstName303 LastName303  assistant 55835.68
FirstName304 LastName304  full 101208.57
FirstName305 LastName305  assistant 64326.62
FirstName306 LastName306  assistant 55642.79
FirstName307 LastName307  assistant 51641.18
FirstName308 LastName308  associate 104091.97
FirstName309 LastName309  associate 108629.14
FirstName310 LastName310  associate 107134.87
FirstName311 LastName311  full 122713.33
FirstName312 LastName312  assistant 70535.92
FirstName313 LastName313  full 114127.63
FirstName314 LastName314  full 93825.63
FirstName315 LastName315  associate 72338.64
FirstName316 LastName316  associate 108269.87
FirstName317 LastName317  assistant 68593.31
FirstName318 LastName318  associate 82082.47
FirstName319 LastName319  assistant 52279.43
FirstName320 LastName320  full 113022.14
FirstName321 LastName321  full 80320.57
FirstName322 LastName322  associate 86796.22
FirstName323 LastName323  full 76219.40
FirstName324 LastName324  associate 103469.59
FirstName325 LastName325  associate 61654.67
FirstName326 LastName326  full 104502.74
FirstName327 LastName327  associate 77233.19
FirstName328 LastName328  associate 97928.67
FirstName329 LastName329  associate 90138.73
FirstName330 LastName330  associate 61927.24
FirstName331 LastName331  associate 98400.86
FirstName332 LastName332  full 87140.60
FirstName333 LastName333  associate 71108.71
FirstName334 LastName334  assistant 73673.59
FirstName335 LastName335  full 99134.20
FirstName336 LastName336  full 104881.54
FirstName337 LastName337  assistant 59655.99
FirstName338 LastName338  full 103028.28
FirstName339 LastName339  assistant 57073.19
FirstName340 LastName340  associate 75761.60
FirstName341 LastName341  associate 101248.39
FirstName342 LastName342  full 90572.74
FirstName343 LastName343  associate 107638.22
FirstName344 LastName344  associate 69440.53
FirstName345 LastName345  associate 83852.14
FirstName346 LastName346  associate 108071.73
FirstName347 LastName347  associate 66202.57
FirstName348 LastName348  assistant 68265.41
FirstName349 LastName349  full 98204.19
FirstName350 LastName350  assistant 58976.03
FirstName351 LastName351  full 103147.24
FirstName352 LastName352  assistant 75245.09
FirstName353 LastName353  associate 93386.32
FirstName354 LastName354  associate 98655.44
FirstName355 LastName355  assistant 65734.95
FirstName356 LastName356  full 123668.63
FirstName357 LastName357  assistant 60149.61
FirstName358 LastName358  assistant 58756.37
FirstName359 LastName359  full 79789.74
FirstName360 LastName360  associate 64662.99
FirstName361 LastName361  full 121957.17
FirstName362 LastName362  full 89029.15
FirstName363 LastName363  associate 96548.86
FirstName364 LastName364  assistant 67909.42
FirstName365 LastName365  associate 81756.19
FirstName366 LastName366  associate 93362.00
FirstName367 LastName367  full 125839.80
FirstName368 LastName368  associate 102502.31
FirstName369 LastName369  assistant 67333.46
FirstName370 LastName370  associate 73226.53
FirstName371 LastName371  full 125171.07
FirstName372 LastName372  full 123824.57
FirstName373 LastName373  full 96325.34
FirstName374 LastName374  associate 103052.96
FirstName375 LastName375  full 107185.64
FirstName376 LastName376  full 81912.02
FirstName377 LastName377  full 125915.74
FirstName378 LastName378  full 95435.05
FirstName379 LastName379  associate 67371.38
FirstName380 LastName380  assistant 73495.84
FirstName381 LastName381  full 127434.22
FirstName382 LastName382  full 86983.44
FirstName383 LastName383  full 108122.55
FirstName384 LastName384  associate 73097.90
FirstName385 LastName385  assistant 71776.38
FirstName386 LastName386  associate 63802.65
FirstName387 LastName387  assistant 59769.07
FirstName388 LastName388  associate 63158.83
FirstName389 LastName389  assistant 71793.10
FirstName390 LastName390  associate 68545.91
FirstName391 LastName391  assistant 57417.59
FirstName392 LastName392  assistant 52225.86
FirstName393 LastName393  assistant 64574.02
FirstName394 LastName394  assistant 67268.08
FirstName395 LastName395  associate 80388.02
FirstName396 LastName396  full 91903.96
FirstName397 LastName397  associate 104128.01
FirstName398 LastName398  full 87242.32
FirstName399 LastName399  full 125202.08
FirstName400 LastName400  full 98248.86
FirstName401 LastName401  full 106240.28
FirstName402 LastName402  assistant 67513.26
FirstName403 LastName403  full 105384.70
FirstName404 LastName404  associate 90845.80
FirstName405 LastName405  assistant 62314.85
FirstName406 LastName406  associate 71298.06
FirstName407 LastName407  associate 90334.51
FirstName408 LastName408  assistant 71300.46
FirstName409 LastName409  associate 65177.55
FirstName410 LastName410  full 113477.58
FirstName411 LastName411  associate 90245.88
FirstName412 LastName412  full 103180.02
FirstName413 LastName413  associate 76627.12
FirstName414 LastName414  assistant 64008.61
FirstName415 LastName415  full 78328.24
FirstName416 LastName416  associate 100191.23
FirstName417 LastName417  full 82925.57
FirstName418 LastName418  assistant 74826.73
FirstName419 LastName419  assistant 63475.32
FirstName420 LastName420  full 102875.34
FirstName421 LastName421  full 97727.07
FirstName422 LastName422  assistant 51416.84
FirstName423 LastName423  full 127284.13
FirstName424 LastName424  full 123724.80
FirstName425 LastName425  associate 87609.24
FirstName426 LastName426  assistant 54452.27
FirstName427 LastName427  full 114793.03
FirstName428 LastName428  assistant 75657.48
FirstName429 LastName429  full 122088.77
FirstName430 LastName430  full 78743.52
FirstName431 LastName431  associate 96640.76
FirstName432 LastName432  assistant 71797.01
FirstName433 LastName433  assistant 53892.71
FirstName434 LastName434  assistant 54228.79
FirstName435 LastName435  full 96958.33
FirstName436 LastName436  assistant 79379.31
FirstName437 LastName437  associate 84465.73
FirstName438 LastName438  full 81311.70
FirstName439 LastName439  full 107470.36
FirstName440 LastName440  associate 104250.58
FirstName441 LastName441  assistant 64553.91
FirstName442 LastName442  assistant 54629.54
FirstName443 LastName443  full 114754.46
FirstName444 LastName444  full 78751.09
FirstName445 LastName445  assistant 78155.93
FirstName446 LastName446  full 104810.23
FirstName447 LastName447  associate 109757.36
FirstName448 LastName448  full 93453.64
FirstName449 LastName449  associate 66898.68
FirstName450 LastName450  assistant 50935.52
FirstName451 LastName451  associate 61050.52
FirstName452 LastName452  associate 77761.97
FirstName453 LastName453  associate 74457.25
FirstName454 LastName454  full 78296.37
FirstName455 LastName455  associate 79101.05
FirstName456 LastName456  assistant 50580.00
FirstName457 LastName457  full 94958.90
FirstName458 LastName458  full 90500.76
FirstName459 LastName459  associate 103487.84
FirstName460 LastName460  full 106347.62
FirstName461 LastName461  full 115496.93
FirstName462 LastName462  associate 66053.46
FirstName463 LastName463  full 99021.06
FirstName464 LastName464  assistant 74670.53
FirstName465 LastName465  assistant 58128.84
FirstName466 LastName466  assistant 59265.02
FirstName467 LastName467  associate 66288.16
FirstName468 LastName468  associate 63316.41
FirstName469 LastName469  assistant 71691.70
FirstName470 LastName470  full 108434.18
FirstName471 LastName471  full 102328.19
FirstName472 LastName472  assistant 64355.02
FirstName473 LastName473  associate 91490.84
FirstName474 LastName474  full 85043.95
FirstName475 LastName475  full 92707.06
FirstName476 LastName476  full 81965.01
FirstName477 LastName477  assistant 52011.12
FirstName478 LastName478  full 92671.51
FirstName479 LastName479  associate 88306.54
FirstName480 LastName480  full 124456.21
FirstName481 LastName481  associate 106092.90
FirstName482 LastName482  associate 83391.65
FirstName483 LastName483  assistant 77771.61
FirstName484 LastName484  assistant 78232.39
FirstName485 LastName485  associate 88775.41
FirstName486 LastName486  full 117342.75
FirstName487 LastName487  associate 82098.73
FirstName488 LastName488  associate 81411.15
FirstName489 LastName489  assistant 54223.47
FirstName490 LastName490  associate 90019.14
FirstName491 LastName491  associate 108035.65
FirstName492 LastName492  associate 98155.52
FirstName493 LastName493  full 110657.35
FirstName494 LastName494  associate 97988.43
FirstName495 LastName495  assistant 63695.50
FirstName496 LastName496  associate 86129.26
FirstName497 LastName497  assistant 74795.09
FirstName498 LastName498  assistant 59460.84
FirstName499 LastName499  associate 84597.22
FirstName500 LastName500  full 115747.75
FirstName501 LastName501  associate 78475.21
FirstName502 LastName502  associate 74280.17
FirstName503 LastName503  assistant 59918.46
FirstName504 LastName504  assistant 60773.46
FirstName505 LastName505  full 121092.50
FirstName506 LastName506  associate 91285.96
FirstName507 LastName507  assistant 64219.96
FirstName508 LastName508  assistant 77719.38
FirstName509 LastName509  assistant 67610.97
FirstName510 LastName510  associate 71098.54
FirstName511 LastName511  full 110276.06
FirstName512 LastName512  assistant 76006.03
FirstName513 LastName513  full 95084.28
FirstName514 LastName514  associate 102584.68
FirstName515 LastName515  full 100442.29
FirstName516 LastName516  full 127048.00
FirstName517 LastName517  full 101439.45
FirstName518 LastName518  full 92366.69
FirstName519 LastName519  associate 80142.28
FirstName520 LastName520  assistant 70556.21
FirstName521 LastName521  assistant 70337.02
FirstName522 LastName522  assistant 56030.99
FirstName523 LastName523  associate 94475.22
FirstName524 LastName524  full 123661.32
FirstName525 LastName525  assistant 53560.08
FirstName526 LastName526  assistant 79379.49
FirstName527 LastName527  assistant 57799.59
FirstName528 LastName528  associate 87393.01
FirstName529 LastName529  full 81293.13
FirstName530 LastName530  full 97003.67
FirstName531 LastName531  associate 60032.82
FirstName532 LastName532  associate 99661.55
FirstName533 LastName533  assistant 65053.79
FirstName534 LastName534  full 96132.85
FirstName535 LastName535  full 118780.02
FirstName536 LastName536  assistant 67777.77
FirstName537 LastName537  assistant 74225.28
FirstName538 LastName538  associate 103771.49
FirstName539 LastName539  assistant 54728.32
FirstName540 LastName540  full 97718.15
FirstName541 LastName541  associate 89831.18
FirstName542 LastName542  full 94595.09
FirstName543 LastName543  associate 82642.44
FirstName544 LastName544  associate 64831.38
FirstName545 LastName545  associate 92437.51
FirstName546 LastName546  assistant 79599.80
FirstName547 LastName547  assistant 50064.86
FirstName548 LastName548  assistant 66762.81
FirstName549 LastName549  full 122112.23
FirstName550 LastName550  full 106382.55
FirstName551 LastName551  associate 88257.77
FirstName552 LastName552  full 82595.61
FirstName553 LastName553  full 129539.38
FirstName554 LastName554  full 119523.75
FirstName555 LastName555  full 129144.61
FirstName556 LastName556  associate 93984.36
FirstName557 LastName557  assistant 71939.95
FirstName558 LastName558  full 105144.64
FirstName559 LastName559  associate 60362.77
FirstName560 LastName560  full 112564.04
FirstName561 LastName561  full 107579.49
FirstName562 LastName562  assistant 79108.74
FirstName563 LastName563  full 105473.69
FirstName564 LastName564  full 80366.13
FirstName565 LastName565  associate 93222.97
FirstName566 LastName566  assistant 78573.36
FirstName567 LastName567  associate 107685.40
FirstName568 LastName568  full 107887.64
FirstName569 LastName569  associate 74469.18
FirstName570 LastName570  assistant 50912.05
FirstName571 LastName571  associate 105740.22
FirstName572 LastName572  assistant 62591.65
FirstName573 LastName573  assistant 52387.20
FirstName574 LastName574  assistant 70635.77
FirstName575 LastName575  associate 72640.60
FirstName576 LastName576  associate 64455.08
FirstName577 LastName577  full 125653.33
FirstName578 LastName578  assistant 77675.03
FirstName579 LastName579  associate 92114.60
FirstName580 LastName580  full 109540.26
FirstName581 LastName581  associate 102725.85
FirstName582 LastName582  associate 74887.18
FirstName583 LastName583  associate 105690.26
FirstName584 LastName584  full 78645.18
FirstName585 LastName585  assistant 79432.15
FirstName586 LastName586  assistant 78096.04
FirstName587 LastName587  associate 93262.09
FirstName588 LastName588  full 93904.16
FirstName589 LastName589  assistant 73516.02
FirstName590 LastName590  full 84022.65
FirstName591 LastName591  assistant 56206.37
FirstName592 LastName592  full 126331.34
FirstName593 LastName593  full 103244.57
FirstName594 LastName594  associate 97865.46
FirstName595 LastName595  full 81036.26
FirstName596 LastName596  full 117246.74
FirstName597 LastName597  assistant 65895.38
FirstName598 LastName598  assistant 50221.09
FirstName599 LastName599  full 123230.53
FirstName600 LastName600  associate 75193.41
FirstName601 LastName601  assistant 72342.10
FirstName602 LastName602  full 77884.21
FirstName603 LastName603  associate 85352.81
FirstName604 LastName604  assistant 73964.99
FirstName605 LastName605  associate 88072.43
FirstName606 LastName606  assistant 55638.30
FirstName607 LastName607  assistant 79104.84
FirstName608 LastName608  associate 67173.04
FirstName609 LastName609  full 127473.06
FirstName610 LastName610  assistant 53335.01
FirstName611 LastName611  full 122541.54
FirstName612 LastName612  full 120204.83
FirstName613 LastName613  assistant 67454.16
FirstName614 LastName614  full 91902.27
FirstName615 LastName615  associate 98716.06
FirstName616 LastName616  full 121021.10
FirstName617 LastName617  associate 64157.70
FirstName618 LastName618  associate 61696.19
FirstName619 LastName619  associate 64963.79
FirstName620 LastName620  associate 93994.00
FirstName621 LastName621  associate 107191.61
FirstName622 LastName622  associate 90544.19
FirstName623 LastName623  assistant 61162.35
FirstName624 LastName624  assistant 70427.47
FirstName625 LastName625  full 107077.42
FirstName626 LastName626  assistant 79184.83
FirstName627 LastName627  associate 76853.96
FirstName628 LastName628  associate 75768.14
FirstName629 LastName629  full 105483.85
FirstName630 LastName630  associate 94556.75
FirstName631 LastName631  assistant 59227.68
FirstName632 LastName632  assistant 59143.99
FirstName633 LastName633  full 75027.94
FirstName634 LastName634  full 125746.37
FirstName635 LastName635  assistant 67151.55
FirstName636 LastName636  full 107483.22
FirstName637 LastName637  associate 98291.68
FirstName638 LastName638  full 129545.42
FirstName639 LastName639  full 122657.68
FirstName640 LastName640  associate 85690.11
FirstName641 LastName641  full 119017.99
FirstName642 LastName642  assistant 66892.75
FirstName643 LastName643  associate 69487.92
FirstName644 LastName644  full 118048.60
FirstName645 LastName645  associate 97892.70
FirstName646 LastName646  associate 90616.79
FirstName647 LastName647  associate 83456.80
FirstName648 LastName648  associate 63022.62
FirstName649 LastName649  assistant 77873.25
FirstName650 LastName650  assistant 69535.17
FirstName651 LastName651  full 122183.75
FirstName652 LastName652  assistant 57640.61
FirstName653 LastName653  associate 105248.56
FirstName654 LastName654  full 125283.69
FirstName655 LastName655  associate 93851.87
FirstName656 LastName656  associate 102047.90
FirstName657 LastName657  full 108818.06
FirstName658 LastName658  full 100571.53
FirstName659 LastName659  assistant 58200.88
FirstName660 LastName660  associate 100119.17
FirstName661 LastName661  full 109884.44
FirstName662 LastName662  assistant 62803.33
FirstName663 LastName663  assistant 59380.76
FirstName664 LastName664  associate 60864.05
FirstName665 LastName665  associate 105304.25
FirstName666 LastName666  assistant 73932.70
FirstName667 LastName667  assistant 58343.40
FirstName668 LastName668  full 84731.31
FirstName669 LastName669  associate 73531.73
FirstName670 LastName670  full 105495.34
FirstName671 LastName671  full 85595.28
FirstName672 LastName672  full 106094.20
FirstName673 LastName673  full 99664.38
FirstName674 LastName674  full 75177.46
FirstName675 LastName675  associate 101791.97
FirstName676 LastName676  assistant 58499.63
FirstName677 LastName677  full 95374.62
FirstName678 LastName678  associate 89250.81
FirstName679 LastName679  full 128560.70
FirstName680 LastName680  associate 97431.71
FirstName681 LastName681  full 75019.16
FirstName682 LastName682  full 107521.73
FirstName683 LastName683  associate 78624.99
FirstName684 LastName684  assistant 66632.68
FirstName685 LastName685  full 77388.42
FirstName686 LastName686  full 102393.86
FirstName687 LastName687  assistant 68394.61
FirstName688 LastName688  assistant 50534.86
FirstName689 LastName689  full 85251.85
FirstName690 LastName690  associate 103733.17
FirstName691 LastName691  assistant 79405.35
FirstName692 LastName692  associate 60050.09
FirstName693 LastName693  associate 98146.66
FirstName694 LastName694  full 79109.00
FirstName695 LastName695  associate 107022.75
FirstName696 LastName696  full 120992.96
FirstName697 LastName697  full 129407.95
FirstName698 LastName698  associate 68313.08
FirstName699 LastName699  assistant 79518.34
FirstName700 LastName700  associate 81877.47
FirstName701 LastName701  associate 68217.42
FirstName702 LastName702  full 119429.41
FirstName703 LastName703  full 121457.21
FirstName704 LastName704  associate 106537.44
FirstName705 LastName705  associate 83983.26
FirstName706 LastName706  full 76515.98
FirstName707 LastName707  assistant 61170.69
FirstName708 LastName708  full 96099.38
FirstName709 LastName709  associate 76600.13
FirstName710 LastName710  associate 65650.87
FirstName711 LastName711  associate 88666.41
FirstName712 LastName712  assistant 64066.90
FirstName713 LastName713  associate 74257.85
FirstName714 LastName714  assistant 52022.99
FirstName715 LastName715  full 107507.27
FirstName716 LastName716  associate 67064.83
FirstName717 LastName717  associate 63703.94
FirstName718 LastName718  associate 77040.15
FirstName719 LastName719  assistant 69357.56
FirstName720 LastName720  assistant 69844.97
FirstName721 LastName721  assistant 58893.72
FirstName722 LastName722  associate 99597.51
FirstName723 LastName723  full 85971.86
FirstName724 LastName724  associate 87409.15
FirstName725 LastName725  assistant 70582.21
FirstName726 LastName726  assistant 52668.05
FirstName727 LastName727  full 123212.85
FirstName728 LastName728  associate 74554.08
FirstName729 LastName729  assistant 53377.10
FirstName730 LastName730  full 75268.93
FirstName731 LastName731  assistant 76740.40
FirstName732 LastName732  full 124845.50
FirstName733 LastName733  associate 95113.21
FirstName734 LastName734  associate 75801.69
FirstName735 LastName735  associate 61010.65
